node,generation,is_leaf
0,38.99639525485554,1
1,38.99639525485556,1
2,38.99639525485555,1
3,38.99639525485555,1
4,38.99639525485556,1
5,38.99639525485555,1
6,38.99639525485555,1
7,38.99639525485555,1
8,38.99639525485555,1
9,38.99639525485555,1
10,38.99639525485555,1
11,38.99639525485555,1
12,38.99639525485555,1
13,38.99639525485556,1
14,38.99639525485555,1
15,38.99639525485554,1
16,38.99639525485554,1
17,38.99639525485555,1
18,38.99639525485555,1
19,38.99639525485555,1
20,38.99639525485555,1
21,38.99639525485555,1
22,38.99639525485555,1
23,38.99639525485555,1
24,38.99639525485556,1
25,38.99639525485554,1
26,38.99639525485555,1
27,38.99639525485555,1
28,38.99639525485555,1
29,38.99639525485555,1
30,38.99639525485555,1
31,38.99639525485555,1
32,38.99639525485555,1
33,38.99639525485555,1
34,38.99639525485555,1
35,0,0
36,3.5257648271324555,0
37,15.103098750088282,0
38,6.636917173780738,0
39,34.94827361118552,0
40,15.125257945158474,0
41,25.559754682755813,0
42,34.01317611379541,0
43,19.3326609246553,0
44,31.816633869812463,0
45,27.776947599819266,0
46,1.7090965668050586,0
47,6.3779025583584215,0
48,16.063769025714382,0
49,20.365442315995104,0
50,34.30184291499103,0
51,25.620473179882723,0
52,29.968659216188538,0
53,33.63353886020928,0
54,28.056721788530744,0
55,34.119565188923985,0
56,32.962565706524934,0
57,11.782738007876802,0
58,18.416173935089905,0
59,24.711967631366345,0
60,32.88722955947909,0
61,16.06790468202767,0
62,3.2735334870549764,0
63,11.961483290346639,0
64,23.504609280043418,0
65,7.68121485500135,0
66,36.137548041910904,0
67,29.680775703413403,0
68,35.335876272176634,0
