"Name of tips","Number of mutations"
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15459_4895_19",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15559_22106_6",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15626_17672_3",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15636_21673_3",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15680_12082_3",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15716_2681_7",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15753_14334_16",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15804_12318_5",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15884_9806_12",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15932_7867_28",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15976_4018_3",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16070_11023_19",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16113_19624_3",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16187_12488_86",2
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16218_13061_8",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16350_14219_8",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16377_6680_14",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16586_2466_5",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16622_10022_3",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16636_14844_3",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16846_18031_26",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16875_15771_14",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16880_12586_4",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16922_10956_34",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16965_17261_3",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17125_11354_11",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17132_13341_4",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17167_13065_3",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17177_11070_22",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17209_11275_7",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17231_16409_7",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17327_12998_16",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17353_7346_16",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17422_9858_15",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17458_20042_5",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17461_4176_3",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17480_9943_8",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17516_16022_4",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17539_20642_27",22
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17567_1330_20",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17595_22348_4",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17612_8539_9",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17633_17248_3",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17640_13989_8",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_17828_12214_5",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18049_18080_5",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18102_5150_13",9
