Name of tips,Number of mutations
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_12336_19365_2,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_13705_6355_5,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14148_18043_2,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14301_18576_2,8
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14558_6416_514,1
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_17814_19481_3,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_18175_17402_3,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_19624_20743_2,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_22236_16901_2,9
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_24016_15480_3,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_26221_7119_2,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_6703_16075_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_6827_6563_5,7
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_7294_5607_3,8
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_9960_15643_3,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_10645_2659_3,7
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_11190_4742_2,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_11679_9118_2,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_12602_17873_3,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_12744_4601_4,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_14913_11825_2,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_15553_9908_2,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_16785_14487_2,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_17685_6853_3,7
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_18453_20513_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_19393_13945_2,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_19704_19386_3,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_21459_4781_2,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_21860_8501_2,1
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_22106_15518_2,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_22733_13034_3,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_23976_8221_2,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_24016_6287_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_24086_9525_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_24985_10305_2,7
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_26373_14689_3,7
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_4048_6564_4,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_5850_16988_2,1
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_7157_6447_2,20
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_8112_5140_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_8902_9003_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_9020_11739_4,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_9390_9037_2,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_10859_18393_3,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_13061_6480_5,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_14117_12995_3,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_14343_19402_3,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_14413_17610_2,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_16382_10692_2,8
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_17636_10611_2,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_19072_15655_3,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_19116_11041_2,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_19288_10580_4,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_20724_16514_4,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_21363_14501_4,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_22247_4984_3,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_23515_4315_4,2
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_23769_14713_3,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_23895_16032_2,9
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_6225_13122_2,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_7160_2566_2,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_7698_14794_3,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_11873_4431_2,12
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_14699_9715_2,2
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_14791_6853_4,2
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_16104_19777_2,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_16695_4683_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_17445_18818_3,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_17665_2224_2,11
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_18267_15264_2,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_20094_19189_2,12
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_20355_7611_3,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_20718_9181_4,8
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_21483_19438_4,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_22075_19019_5,2
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_22105_18122_2,7
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_23155_18557_3,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_24706_3954_3,13
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_25218_22531_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_5851_11428_5,9
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_5932_7557_3,8
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_6758_8353_2,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_7164_12507_2,2
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_7454_17877_2,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_7860_15443_2,2
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_8091_4373_3,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_9670_7972_3,7
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_10711_9821_2,8
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_11951_10916_2,9
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_12247_20557_6,9
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_14465_16807_2,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_15502_19117_2,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_15557_8596_3,6
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_16866_14121_2,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_17130_11166_2,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_18122_4581_4,5
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_19806_17418_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_19823_17087_2,2
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_24735_12946_2,2
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_25823_8965_2,2
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_4291_17043_2,7
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_5045_14263_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_5203_15209_2,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_6562_16548_3,3
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_15759_7616_4,4
M1Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_18581_8066_2,5
