Name of tips,Number of mutations
33_bc1_M03320_127_000000000-JHJF3_1_1101_10323_11211_13,22
33_bc1_M03320_127_000000000-JHJF3_1_1101_10409_10612_6,21
33_bc1_M03320_127_000000000-JHJF3_1_1101_10611_7228_11,14
33_bc1_M03320_127_000000000-JHJF3_1_1101_11566_9333_10,17
33_bc1_M03320_127_000000000-JHJF3_1_1101_11982_18431_4,15
33_bc1_M03320_127_000000000-JHJF3_1_1101_14212_19080_5,17
33_bc1_M03320_127_000000000-JHJF3_1_1101_15706_22539_8,23
33_bc1_M03320_127_000000000-JHJF3_1_1101_18639_18017_6,16
33_bc1_M03320_127_000000000-JHJF3_1_1101_18769_16856_8,15
33_bc1_M03320_127_000000000-JHJF3_1_1101_19377_14895_12,19
33_bc1_M03320_127_000000000-JHJF3_1_1101_19897_15710_3,17
33_bc1_M03320_127_000000000-JHJF3_1_1101_25709_14386_5,17
33_bc1_M03320_127_000000000-JHJF3_1_1101_4317_14844_156,3
33_bc1_M03320_127_000000000-JHJF3_1_1101_5019_13551_8,20
33_bc1_M03320_127_000000000-JHJF3_1_1101_6055_18631_4,15
33_bc1_M03320_127_000000000-JHJF3_1_1101_8707_17070_10,13
33_bc1_M03320_127_000000000-JHJF3_1_1101_9476_17658_10,10
33_bc1_M03320_127_000000000-JHJF3_1_1102_10722_13429_3,11
33_bc1_M03320_127_000000000-JHJF3_1_1102_10782_14903_3,15
33_bc1_M03320_127_000000000-JHJF3_1_1102_10904_8357_6,9
33_bc1_M03320_127_000000000-JHJF3_1_1102_11234_19433_7,13
33_bc1_M03320_127_000000000-JHJF3_1_1102_11270_12706_3,15
33_bc1_M03320_127_000000000-JHJF3_1_1102_11345_16926_3,13
33_bc1_M03320_127_000000000-JHJF3_1_1102_11536_18492_7,16
33_bc1_M03320_127_000000000-JHJF3_1_1102_12630_17011_7,5
33_bc1_M03320_127_000000000-JHJF3_1_1102_13085_5875_12,2
33_bc1_M03320_127_000000000-JHJF3_1_1102_13862_9258_7,13
33_bc1_M03320_127_000000000-JHJF3_1_1102_14633_11524_9,22
33_bc1_M03320_127_000000000-JHJF3_1_1102_14666_17771_4,16
33_bc1_M03320_127_000000000-JHJF3_1_1102_14973_8954_8,32
33_bc1_M03320_127_000000000-JHJF3_1_1102_15425_10950_4,32
33_bc1_M03320_127_000000000-JHJF3_1_1102_15662_11556_12,2
33_bc1_M03320_127_000000000-JHJF3_1_1102_16116_12032_9,13
33_bc1_M03320_127_000000000-JHJF3_1_1102_16219_11922_3,15
33_bc1_M03320_127_000000000-JHJF3_1_1102_16257_15440_7,16
33_bc1_M03320_127_000000000-JHJF3_1_1102_17005_17774_5,12
33_bc1_M03320_127_000000000-JHJF3_1_1102_17469_17108_8,9
33_bc1_M03320_127_000000000-JHJF3_1_1102_18004_18252_4,1
33_bc1_M03320_127_000000000-JHJF3_1_1102_18298_14905_3,23
33_bc1_M03320_127_000000000-JHJF3_1_1102_18368_18109_7,18
33_bc1_M03320_127_000000000-JHJF3_1_1102_18543_12852_9,17
33_bc1_M03320_127_000000000-JHJF3_1_1102_19045_8027_6,22
33_bc1_M03320_127_000000000-JHJF3_1_1102_19159_20750_4,17
33_bc1_M03320_127_000000000-JHJF3_1_1102_19417_14694_6,15
33_bc1_M03320_127_000000000-JHJF3_1_1102_19425_14656_6,4
33_bc1_M03320_127_000000000-JHJF3_1_1102_19915_11153_3,14
33_bc1_M03320_127_000000000-JHJF3_1_1102_20117_13724_6,14
33_bc1_M03320_127_000000000-JHJF3_1_1102_20142_9157_8,14
33_bc1_M03320_127_000000000-JHJF3_1_1102_20468_8666_9,8
33_bc1_M03320_127_000000000-JHJF3_1_1102_20900_14566_3,16
33_bc1_M03320_127_000000000-JHJF3_1_1102_21300_12662_5,22
33_bc1_M03320_127_000000000-JHJF3_1_1102_21309_14734_4,7
33_bc1_M03320_127_000000000-JHJF3_1_1102_21360_17045_11,16
33_bc1_M03320_127_000000000-JHJF3_1_1102_22183_20136_7,9
33_bc1_M03320_127_000000000-JHJF3_1_1102_22550_16756_13,20
33_bc1_M03320_127_000000000-JHJF3_1_1102_24618_13057_7,11
33_bc1_M03320_127_000000000-JHJF3_1_1102_25091_16652_7,9
33_bc1_M03320_127_000000000-JHJF3_1_1102_26763_15642_11,13
33_bc1_M03320_127_000000000-JHJF3_1_1102_26916_20069_13,17
33_bc1_M03320_127_000000000-JHJF3_1_1102_27162_17153_3,29
33_bc1_M03320_127_000000000-JHJF3_1_1102_6963_17681_12,15
33_bc1_M03320_127_000000000-JHJF3_1_1102_8699_10564_5,22
33_bc1_M03320_127_000000000-JHJF3_1_1102_9461_7379_5,17
33_bc1_M03320_127_000000000-JHJF3_1_1102_9830_16492_3,11
33_bc1_M03320_127_000000000-JHJF3_1_1103_10033_10875_5,16
33_bc1_M03320_127_000000000-JHJF3_1_1103_10241_6529_3,10
33_bc1_M03320_127_000000000-JHJF3_1_1103_11346_17255_3,15
33_bc1_M03320_127_000000000-JHJF3_1_1103_11496_9993_4,26
33_bc1_M03320_127_000000000-JHJF3_1_1103_12447_9448_4,16
33_bc1_M03320_127_000000000-JHJF3_1_1103_12521_9475_6,18
33_bc1_M03320_127_000000000-JHJF3_1_1103_13006_12569_9,14
33_bc1_M03320_127_000000000-JHJF3_1_1103_13347_9327_8,14
