"Name of tips","Number of mutations"
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2119_11703_4476_4",5
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2119_13966_6861_6",6
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2119_21431_17175_2",9
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1101_12988_14684_3",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1101_19224_12150_2",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1101_20923_16358_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1101_21332_6621_6",10
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1101_23157_9381_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1101_25120_15659_3",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1101_26935_10699_5",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1101_27603_17943_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1102_15136_7100_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1102_15390_9435_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1102_25058_8939_3",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1102_7393_14626_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1102_8261_6887_4",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1103_14440_19297_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1103_14979_9581_7",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1103_17299_15674_3",11
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1103_17757_15551_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1103_20742_8553_5",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1103_21428_16218_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1103_22378_9684_5",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1103_22696_13563_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1103_9776_8487_3",11
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1104_18946_5626_2",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1104_24298_8689_3",5
