"Name of tips","Number of mutations"
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_10017_13036_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_10247_15071_2",2
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_10784_19635_2",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_11257_10598_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_11447_12745_2",5
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_11666_14415_3",5
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_11738_9575_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_11936_18392_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_12134_8933_3",9
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_12329_11454_2",11
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_12390_4097_2",2
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_12559_6577_2",15
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_12660_8450_71",2
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_12731_8489_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_13527_20186_2",9
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_13607_2168_2",2
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_13616_4724_3",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_13628_17564_2",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_13636_17353_3",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_13637_20827_3",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_13651_3448_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_13839_5405_2",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_13953_6188_2",2
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_14543_18026_2",6
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_14750_19910_2",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_15102_12189_2",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_15793_13803_2",9
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_16186_23616_3",10
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_16257_18478_2",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_16815_6204_2",2
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_16817_14099_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_16883_16414_2",2
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_17035_5281_4",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_17108_21252_2",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_17201_11794_3",10
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_17217_13909_3",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_17532_15756_3",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_17590_4390_2",9
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_17796_19176_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_18015_17712_3",6
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_18210_8706_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_18424_16928_3",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_18719_4927_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_18890_20527_2",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_18892_16645_3",6
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_18933_8918_3",6
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_19221_7230_2",6
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_19596_12637_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_19855_8453_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_20044_16656_3",5
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_20577_4828_4",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_20604_14334_3",12
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_20822_2356_2",6
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_21320_19197_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_21488_8669_2",17
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_21571_10462_2",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_22159_15380_2",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_22346_14819_3",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_22422_15638_4",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_23053_9374_3",10
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_23227_6083_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_23350_9071_3",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_23792_12066_2",11
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_23792_12410_3",8
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_23960_8946_2",2
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_24128_18886_2",13
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_24233_7530_2",6
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_24949_12145_2",5
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_25240_10106_2",9
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_25259_18119_2",5
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_25341_18906_3",10
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_25442_16857_2",1
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_25957_20555_3",14
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_25962_19409_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_26419_16564_3",6
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_26471_16806_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_26472_5576_5",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_26736_8542_2",9
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_27620_9789_3",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_27632_13963_2",5
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_27642_15411_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_27795_19257_3",10
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_28191_18367_2",10
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_28561_15846_2",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_28589_16990_4",11
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_29340_15856_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_29610_12598_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_6044_21545_3",11
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_6963_15571_4",13
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_7106_16953_2",11
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_7718_12091_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_8209_18719_2",6
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_8439_13137_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_8566_16819_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_8810_13385_2",7
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1101_9811_9960_2",4
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1102_10299_18196_2",3
"M2Dl63_bc1_M04670_38_000000000-JP235_1_1102_11032_16799_2",1
