"Name of tips","Number of mutations"
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_11113_8876_3",12
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_11927_4456_3",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_12478_9337_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_12924_12416_5",1
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_13116_18985_4",5
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_13290_11895_4",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_13421_5412_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_15414_19878_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_15473_5378_7",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_15478_17061_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_16407_11433_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_16970_11318_3",1
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_18342_18400_3",5
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_18749_16074_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_18854_4783_4",1
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_20723_5108_3",8
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_20760_10299_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_20786_10487_3",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_21191_14977_4",6
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_21966_10573_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_22869_15627_3",8
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_23015_20334_3",6
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_23257_21979_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_23606_11324_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_24478_7017_4",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_27848_10405_7",1
"3A_bc1_M04958_54_000000000-J7Y7F_1_1101_28372_18628_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_10136_9057_3",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_10992_18150_3",10
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_11481_15611_3",5
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_11550_7524_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_11605_20518_3",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_12400_15078_6",1
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_12610_10832_10",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_13313_5227_3",6
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_13732_12606_3",7
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_13732_3488_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_14348_5778_5",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_14620_12360_4",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_14689_12815_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_15429_17753_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_16115_20957_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_16496_20832_6",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_16557_16051_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_17166_11468_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_17300_10731_3",6
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_17472_5275_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_18693_17598_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_18878_10875_4",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_19540_14376_5",6
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_21849_16117_7",1
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_22179_14929_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_22575_23616_3",6
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_22847_16802_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_23905_11792_3",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_23969_8891_3",1
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_23978_4491_3",2
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_24126_8729_7",1
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_24277_3651_3",7
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_24437_9973_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_28031_6943_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_28220_12879_4",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_28465_7509_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_6559_10949_3",4
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_9682_4946_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1102_9762_7103_3",7
"3A_bc1_M04958_54_000000000-J7Y7F_1_1103_11296_5640_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1103_11894_14883_3",3
"3A_bc1_M04958_54_000000000-J7Y7F_1_1103_12314_3331_3",6
"3A_bc1_M04958_54_000000000-J7Y7F_1_1103_12422_8878_3",6
"3A_bc1_M04958_54_000000000-J7Y7F_1_1103_12654_15741_3",7
"3A_bc1_M04958_54_000000000-J7Y7F_1_1103_12663_2853_3",3
