Name of tips,Number of mutations
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_18016_22561_7,12
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_18947_13212_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_18964_11083_5,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_19819_18546_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_20125_4495_33,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_20578_6352_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_20720_9374_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_20745_3244_8,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_20752_3173_6,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_20884_18638_3,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_21028_9659_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_22466_15966_9,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_23894_19296_6,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_23969_5757_2,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_24068_21991_13,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_24550_10531_6,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_24826_17836_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_25102_7943_21,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_26917_9682_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_27689_19194_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_4556_15783_2,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_7340_20235_7,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_8571_2789_4,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_9360_18969_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1102_9991_20564_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_10250_11972_6,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_11021_6982_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_11618_12193_5,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_12596_2004_3,12
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_12796_22727_13,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_13361_7556_7,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_13373_20044_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_14213_1427_7,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_14222_8459_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_14653_19358_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_15261_17401_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_15694_13255_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_16102_11327_3,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_16520_11788_31,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_16728_10150_8,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_17587_1963_7,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_17826_5713_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_17901_15371_20,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_20756_11079_2,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_21778_7031_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_21969_9334_2,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_21978_9969_3,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_22272_15065_2,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_22295_2183_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_22608_8164_5,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_23437_18154_7,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_23506_15725_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_23528_7274_6,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_23543_13045_8,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_23799_10853_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_26721_9603_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_26925_18470_8,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_27572_19087_6,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_28830_13236_5,16
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_5492_21106_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_5846_9530_5,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_7590_7407_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_7670_19227_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_8152_5925_3,9
