"Name of tips","Number of mutations"
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10037_4082_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10064_15978_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10067_9606_6",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10108_17746_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10140_9780_4",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10209_9730_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10330_7664_4",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10434_17673_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10487_15429_4",13
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10620_6802_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10640_20057_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_10872_11991_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_11004_13086_5",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_11016_4734_5",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_11402_3141_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_11433_10045_6",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_11520_8993_3",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_11978_10745_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_12036_5184_6",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_12076_14398_10",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_12254_13798_3",2
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_12322_3621_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_12603_16940_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_12605_8410_3",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_12804_13730_4",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13033_13526_5",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13101_9113_3",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13124_7002_3",2
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13126_20200_6",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13141_17810_3",11
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13201_18373_4",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13445_17710_5",2
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13456_7034_4",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13508_3782_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13527_3535_5",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13798_15571_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13870_19664_6",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_13989_13828_5",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14016_12395_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14025_15573_5",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14205_2981_3",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14205_3860_3",17
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14222_7801_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14229_14308_7",7
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14306_7913_5",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14564_8901_6",1
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14600_8533_4",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14724_13148_5",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14975_8708_5",10
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_14983_19743_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_15062_9982_5",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_15107_4119_5",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_15352_9251_3",12
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_15408_11915_3",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_15532_3942_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_15563_2605_3",12
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_15718_4840_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_15732_12401_5",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_15942_17173_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16078_18147_4",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16314_16648_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16318_15347_4",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16378_10989_3",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16410_16024_3",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16432_9083_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16439_8671_4",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16703_19451_5",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16717_15498_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16742_14878_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16886_11895_3",10
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16893_10281_5",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16903_10513_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16957_8376_3",2
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_16987_12793_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17049_15486_4",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17077_18951_5",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17232_12043_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17234_8027_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17236_11682_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17242_13517_5",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17309_4259_3",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17313_15725_3",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17341_11465_4",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17364_3362_3",11
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17383_19591_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17418_4434_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17464_13057_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17538_12460_3",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17542_10941_7",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17546_9408_3",11
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17623_18420_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17830_13230_5",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17833_11593_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17840_19508_4",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17910_12215_5",13
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_17934_9913_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18049_11460_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18054_15098_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18100_12657_3",2
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18362_1618_4",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18396_14027_3",7
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18446_21044_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18549_9768_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18562_16626_3",7
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18662_13142_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18670_1423_3",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18707_12547_4",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_18792_7600_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19038_8382_5",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19159_4538_3",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19192_13690_12",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19224_9038_6",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19269_10210_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19425_10784_5",10
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19449_18185_4",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19489_4509_6",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19494_10967_5",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19545_6579_5",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19581_16752_3",7
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19605_22257_3",7
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19695_8862_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19719_12106_3",7
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19865_19282_4",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_19913_4943_3",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_20067_20390_8",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_20105_5608_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_20197_18343_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_20273_2535_4",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_20312_15233_4",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_20421_7252_3",7
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_20613_2346_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_20668_13479_3",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21105_10022_3",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21146_11219_5",12
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21207_4226_3",7
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21666_11807_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21703_9930_5",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21716_14010_3",12
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21785_2347_3",6
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21821_5140_5",5
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21829_5936_5",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21833_10743_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_21975_11698_4",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22010_9620_6",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22080_6904_3",10
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22131_15289_4",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22183_9198_5",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22236_10053_3",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22245_12398_7",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22419_5703_4",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22624_17410_4",3
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22721_9588_3",8
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_22737_7774_3",9
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_23009_14415_3",7
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_23116_18682_3",11
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_23134_12671_4",2
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_23166_3118_7",4
"M2Dl53_bc1_M04670_38_000000000-JP235_1_1101_23234_9459_3",5
