Name of tips,Number of mutations
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_16250_14443_2,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_16506_15179_2,3
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_17392_10972_2,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_19447_9601_2,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_21130_8610_2,7
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_23320_5462_3,12
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_23322_19301_3,10
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_23638_14068_2,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_6712_12098_2,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1101_9563_18806_4,22
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_10146_3626_3,15
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_10407_20393_3,13
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_10535_10891_6,12
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_11010_9412_2,8
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_12020_9542_4,6
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_12965_15706_3,10
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_13634_15278_2,2
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_13950_4138_2,2
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_14001_19620_2,8
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_14156_8582_4,10
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_16472_16034_2,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_16527_21226_2,4
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_16996_6184_2,3
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_17769_12063_3,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_17837_4247_5,8
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_18148_13456_2,2
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_19877_6711_2,9
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_20076_6319_2,10
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_21136_20778_2,2
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_21623_10507_4,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_22432_9527_2,17
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_23612_13358_2,29
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_25535_12404_2,16
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_2655_17306_3,8
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_28608_10911_2,4
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_4335_13665_4,12
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_4471_17393_2,3
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_4887_15987_2,6
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_5947_15268_2,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_6415_11299_2,7
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_6461_12668_2,22
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_7245_20920_4,12
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_7688_16027_3,1
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_8472_8473_2,6
M2D3_bc1_M03783_10_000000000-JJBVG_1_1102_8981_16858_2,16
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_10382_11830_4,9
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_10630_15052_2,3
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_10853_9172_2,6
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_11003_6882_5,1
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_11931_12319_2,14
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_14243_17886_2,15
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_15194_15435_2,4
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_15371_9266_2,7
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_15514_20184_4,8
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_15847_15253_2,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_15884_7217_3,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_15889_15241_2,4
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_15960_7341_2,4
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_16880_8374_4,15
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_16892_4607_2,26
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_17451_21111_3,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_17490_20265_2,2
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_19303_10924_2,1
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_19435_15259_4,7
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_20082_5295_2,2
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_20131_6134_2,6
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_20294_3514_2,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_20345_4891_2,3
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_21128_3796_3,7
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_21862_10643_2,9
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_21871_20545_2,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_21907_12366_2,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_22410_8782_3,7
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_23093_12474_2,10
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_23687_13559_3,3
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_25917_19533_2,7
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_26187_10080_2,8
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_27401_11389_2,9
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_28168_6898_2,14
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_29558_14618_4,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_5738_12824_2,3
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_8168_9713_5,7
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_9209_7391_2,4
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_9323_15307_2,8
M2D3_bc1_M03783_10_000000000-JJBVG_1_1103_9660_3940_3,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_10310_6115_91,2
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_10832_12227_2,3
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_12111_11426_4,8
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_12355_12414_4,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_12752_9352_5,7
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_13068_16467_2,11
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_13569_2799_2,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_13735_19831_2,8
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_15078_20895_4,20
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_16334_13872_2,3
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_17403_19675_2,9
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_19044_6287_3,5
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_19077_20607_2,1
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_19508_16054_3,4
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_20612_14690_3,19
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_21809_11113_2,6
M2D3_bc1_M03783_10_000000000-JJBVG_1_1104_22025_8531_4,6
