"Name of tips","Number of mutations"
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_10309_4526_11",13
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_10430_10070_11",14
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_10512_8326_3",15
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_10874_11128_3",6
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_11442_11909_3",15
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_11784_16677_3",3
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_11857_20501_4",17
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_12058_17866_5",15
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_12254_9894_5",10
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_12624_2555_4",16
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_13089_10532_3",19
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_13250_18306_4",16
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_14216_7257_3",16
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_14812_17883_5",14
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_15266_10066_3",7
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_15673_10929_3",14
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_15754_7082_3",11
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_15896_9568_5",15
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_16472_18248_3",20
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_16734_4500_6",8
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_16782_11203_8",6
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_16978_2291_4",21
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_17106_14033_4",8
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_17148_15256_9",14
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_17388_8362_11",19
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_17593_2367_6",16
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_17664_7496_5",15
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_17784_13901_9",14
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_17830_9351_6",7
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_17985_17605_3",5
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_18201_14621_267",5
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_18318_17705_7",19
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_18403_14630_10",15
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_18544_17936_9",15
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_19242_6582_8",11
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_19276_7911_3",8
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_20018_4692_3",14
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_20610_12733_9",14
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_20658_15361_7",11
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_20691_12942_5",15
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_20940_10409_5",20
"M3D33_bc1_M04670_38_000000000-JP235_1_1101_21545_3727_6",10
