Name of tips,Number of mutations
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_5566_14109_4,16
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_5593_14560_10,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_5862_15172_3,14
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_6730_16941_5,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_7753_20507_13,14
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_7987_5691_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_8515_15962_10,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_8560_18351_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_9906_9264_8,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_10922_13265_5,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_11220_17379_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_11634_11657_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_11699_14591_9,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_11865_15256_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_12396_7556_3,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_12677_20586_3,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_13025_12773_7,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_13072_14921_4,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_14099_22409_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_14108_6566_7,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_14539_9147_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_14872_5832_6,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_15361_21211_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_15611_20751_5,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_15817_8758_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_15974_4359_7,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_16177_2792_5,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_16536_9373_7,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_16660_21087_3,8
