Name of tips,Number of mutations
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_10002_3605_4,2
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_10072_6758_4,3
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_10236_5654_2,4
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_10415_16736_2,4
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_10620_8611_3,5
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_10625_7643_3,12
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_10991_13071_5,11
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_11217_16105_3,11
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_12101_7809_3,6
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_12304_20072_7,8
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_12464_6001_2,4
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_12612_12332_3,8
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_12756_2580_4,8
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_12803_11390_2,7
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_13389_4735_2,1
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_13725_15865_3,5
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_13735_19214_3,5
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_13772_21045_3,7
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_13780_8998_3,12
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_13976_12778_2,2
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_13997_11011_3,7
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_14197_21903_2,7
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_14599_18966_2,6
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_14636_20541_3,7
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_14654_4081_3,5
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_14780_6101_3,3
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_14866_7048_2,10
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_14871_3651_6,4
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_14982_14038_2,3
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_15086_15159_3,11
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_15404_7874_3,9
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_15489_21351_2,9
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_15954_3762_2,6
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_16225_17549_2,15
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_16803_15499_3,11
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_16968_1248_3,11
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_17051_13492_3,5
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_17106_7941_4,8
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_17419_18158_2,6
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_17714_18378_223,2
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_17856_18991_3,10
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_18060_16321_3,6
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_18076_17545_2,5
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_18725_4908_2,3
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_18814_16815_2,4
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_18862_16704_2,9
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_18902_3537_2,8
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_18981_7586_2,1
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_19558_12029_3,11
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_19645_9648_3,9
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_19728_10829_3,10
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_19750_15736_2,6
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_19881_7180_2,5
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_19951_20007_2,4
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_20586_6902_3,17
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_20614_20239_2,8
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_20936_5528_2,7
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_21540_13237_2,3
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_21913_12093_4,10
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_22712_20478_2,5
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_22866_20003_2,4
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_22933_10047_3,6
M3Dl63_bc1_M04670_41_000000000-JNYHM_1_1101_22965_15840_4,8
